Model,Accuracy,Precision,Recall,F1 Score,ROC-AUC
Baseline,0.7352313167259786,0.0,0.0,0.0,0.5
Logistic Regression,0.801423487544484,0.6643109540636042,0.5053763440860215,0.5740458015267176,0.8393381319676483
Decision Tree,0.795017793594306,0.6438356164383562,0.5053763440860215,0.5662650602409639,0.8257710603836825
Random Forest,0.7935943060498221,0.6453900709219859,0.489247311827957,0.5565749235474006,0.8355908253442836
XGBoost,0.7864768683274022,0.6224489795918368,0.49193548387096775,0.5495495495495496,0.8321011460512756
